text,annotation,spans,tag,properties.intentional,properties.iterative,properties.mental,properties.persistent,properties.representation_type,properties.unpredictable,properties.irreversible,properties.non_event_type
Effi Briest,denn ihre Verstimmung war noch größer als ihre Müdigkeit,"[[262009, 262065]]",stative_event,,,['yes'],,['narrator_speech'],[1],,
Effi Briest,"Daß Innstetten sich seinen Spuk parat hielt, um ein nicht ganz gewöhnliches Haus zu bewohnen","[[262067, 262159]]",process,['yes'],['yes'],['no'],[1],['narrator_speech'],[1],,
Effi Briest,das mochte  hingehen,"[[262161, 262180]]",non_event,,,,,['narrator_speech'],,,['modalised_statement']
Effi Briest,"das stimmte zu seinem Hange, sich von der großen Menge zu unterscheiden","[[262182, 262253]]",stative_event,,,['no'],,['narrator_speech'],[1],,
Effi Briest,aber das andere das war doch arg und beinahe beleidigend,"[[262255, 262270], [262319, 262359]]",stative_event,,,['yes'],,['narrator_speech'],[1],,
Effi Briest,daß er den Spuk als Erziehungsmittel brauchte,"[[262272, 262317]]",process,['yes'],['yes'],['no'],[1],['narrator_speech'],[1],,
Effi Briest,Und „Erziehungsmittel“ sagte nur die kleinere Hälfte,"[[262361, 262383], [262412, 262441]]",process,['yes'],['yes'],['no'],[1],['narrator_speech'],[1],,
Effi Briest,darüber war sie sich klar,"[[262385, 262410]]",stative_event,,,['yes'],,['narrator_speech'],[1],,
Effi Briest,was Crampas gemeint hatte,"[[262443, 262468]]",stative_event,,,['yes'],,['narrator_speech'],[1],,
Effi Briest,"war viel, viel mehr","[[262470, 262489]]",stative_event,,,['no'],,['narrator_speech'],[1],,
Effi Briest,war eine Art Angstapparat aus Kalkül,"[[262491, 262527]]",stative_event,,,['no'],,['narrator_speech'],[1],,
Effi Briest,Es fehlte jede Herzensgüte darin,"[[262529, 262561]]",non_event,,,,,['narrator_speech'],,,['negation']
Effi Briest,und  grenzte schon fast an Grausamkeit,"[[262562, 262599]]",stative_event,,,['yes'],,['narrator_speech'],[1],,
Effi Briest,Das Blut stieg ihr zu Kopf,"[[262601, 262627]]",process,['no'],['no'],['no'],[2],['narrator_speech'],[1],,
Effi Briest,und sie ballte ihre kleine Hand,"[[262629, 262660]]",process,['yes'],['no'],['no'],[2],['narrator_speech'],[2],,
Effi Briest,und wollte Pläne schmieden,"[[262661, 262687]]",stative_event,,,['yes'],,['narrator_speech'],[1],,
Effi Briest,aber mit einemmale mußte sie wieder lachen,"[[262689, 262731]]",stative_event,,,['yes'],,['narrator_speech'],[1],,
Effi Briest,Ich Kindskopf,"[[262734, 262747]]",non_event,,,,,['character_speech'],,,['ellipsis']
Effi Briest,Wer bürgt mir denn dafür,"[[262749, 262773]]",non_event,,,,,['character_speech'],,,['question']
Effi Briest,daß Crampas  recht hat,"[[262775, 262796]]",non_event,,,,,['character_speech'],,,['modalised_statement']
Effi Briest,Crampas ist unterhaltlich,"[[262798, 262823]]",stative_event,,,['no'],,['character_speech'],[2],,
Effi Briest,weil er medisant ist,"[[262825, 262845]]",stative_event,,,['yes'],,['character_speech'],[2],,
Effi Briest,aber er ist unzuverlässig,"[[262847, 262872]]",stative_event,,,['no'],,['character_speech'],[2],,
Effi Briest,und ein bloßer Haselant,"[[262873, 262896]]",stative_event,,,['no'],,['character_speech'],[2],,
Effi Briest,der schließlich Innstetten nicht das Wasser reicht,"[[262898, 262948]]",non_event,,,,,['character_speech'],,,['negation']
Effi Briest,In diesem Augenblick fuhr Innstetten vor,"[[262952, 262992]]",process,['yes'],['no'],['no'],[1],['narrator_speech'],[2],,
Effi Briest,"der heute früher zurück kam, als gewöhnlich","[[262994, 263037]]",process,['yes'],['no'],['no'],[1],['narrator_speech'],[2],,
Effi Briest,"Effi sprang auf, um ihn schon im Flur zu begrüßen","[[263039, 263088]]",process,['yes'],['no'],['no'],[1],['narrator_speech'],[2],,
Effi Briest,und war um so zärtlicher,"[[263090, 263114]]",stative_event,,,['no'],,['narrator_speech'],[2],,
Effi Briest,"je mehr sie das Gefühl hatte, etwas gut machen zu müssen","[[263116, 263172]]",stative_event,,,['yes'],,['narrator_speech'],[1],,
Effi Briest,Aber ganz konnte sie das doch nicht verwinden,"[[263174, 263198], [263226, 263246]]",non_event,,,,,['narrator_speech'],,,['negation']
Effi Briest,was Crampas gesagt hatte,"[[263200, 263224]]",process,['yes'],['no'],['no'],[1],['narrator_speech'],[1],,
Effi Briest,und inmitten ihrer Zärtlichkeiten klang es in ihr immer wieder,"[[263248, 263281], [263336, 263364]]",process,['no'],['yes'],['yes'],[2],['narrator_speech'],[1],,
Effi Briest,und während sie mit anscheinendem Interesse zuhörte,"[[263283, 263334]]",process,['yes'],['yes'],['no'],[1],['narrator_speech'],[1],,
Effi Briest,also Spuk aus Berechnung,"[[263367, 263391]]",non_event,,,,,['thought_representation'],,,['ellipsis']
Effi Briest,"Spuk, um dich in Ordnung zu halten","[[263393, 263427]]",non_event,,,,,['thought_representation'],,,['ellipsis']
Effi Briest,Zuletzt indessen vergaß sie's,"[[263431, 263460]]",process,['no'],['no'],['yes'],[1],['narrator_speech'],[2],,
Effi Briest,und ließ sich unbefangen von ihm  erzählen,"[[263461, 263502]]",process,['yes'],['yes'],['no'],[0],['narrator_speech'],[1],,
Effi Briest,Inzwischen war Mitte November herangekommen,"[[263505, 263548]]",process,['no'],['no'],['no'],[1],['narrator_speech'],[1],,
Effi Briest,und der bis zum Sturm sich steigernde Nordwester stand anderthalb Tag lang so hart auf die Molen,"[[263550, 263646]]",process,['no'],['no'],['no'],[1],['narrator_speech'],[1],,
Effi Briest,daß die mehr und mehr zurückgestaute Kessine das Bollwerk überstieg,"[[263648, 263715]]",process,['no'],['no'],['no'],[1],['narrator_speech'],[2],,
Effi Briest,und in die Straßen trat,"[[263716, 263739]]",process,['no'],['no'],['no'],[1],['narrator_speech'],[1],,
Effi Briest,Aber nachdem sich's ausgetobt,"[[263741, 263770]]",process,['no'],['no'],['no'],[1],['narrator_speech'],[1],,
Effi Briest,legte sich das Unwetter,"[[263772, 263795]]",process,['no'],['no'],['no'],[1],['narrator_speech'],[1],,
Effi Briest,und es kamen noch ein paar sonnige Spätherbsttage,"[[263797, 263846]]",process,['no'],['yes'],['no'],[1],['narrator_speech'],[1],,
Effi Briest,Wer weiß,"[[263849, 263857]]",non_event,,,,,['character_speech'],,,['question']
Effi Briest,wie lange sie dauern,"[[263859, 263879]]",non_event,,,,,['character_speech'],,,['question']
Effi Briest,sagte Effi zu Crampas,"[[263882, 263903]]",process,['yes'],['no'],['no'],[1],['narrator_speech'],[1],,
Effi Briest,"und so beschloß man, am nächsten Vormittage noch einmal  auszureiten","[[263905, 263972]]",process,['yes'],['no'],['no'],[1],['narrator_speech'],[1],,
Effi Briest,auch Innstetten wollte mit,"[[263974, 263989], [264019, 264029]]",stative_event,,,['yes'],,['narrator_speech'],[1],,
Effi Briest,der einen freien Tag hatte,"[[263991, 264017]]",process,['no'],['no'],['no'],[1],['narrator_speech'],[1],,
Effi Briest,Es sollte zunächst wieder bis an die Mole gehen,"[[264031, 264078]]",non_event,,,,,['narrator_speech'],,,['modalised_statement']
Effi Briest,da wollte man dann absteigen,"[[264080, 264108]]",non_event,,,,,['narrator_speech'],,,['modalised_statement']
Effi Briest,ein wenig am Strande promenieren,"[[264110, 264142]]",non_event,,,,,['narrator_speech'],,,['modalised_statement']
Effi Briest,und  schließlich im Schutze der Dünen ein Frühstück nehmen,"[[264143, 264179], [264201, 264221]]",non_event,,,,,['narrator_speech'],,,['modalised_statement']
Effi Briest,wo's windstill war,"[[264181, 264199]]",stative_event,,,['no'],,['narrator_speech'],[1],,
Effi Briest,Um die festgesetzte Stunde ritt Crampas vor dem landrätlichen Hause vor,"[[264224, 264295]]",process,['yes'],['no'],['no'],[1],['narrator_speech'],[1],,
Effi Briest,Kruse hielt schon das Pferd der gnädigen Frau,"[[264297, 264342]]",process,['yes'],['no'],['no'],[1],['narrator_speech'],[1],,
Effi Briest,die sich rasch in den Sattel hob,"[[264344, 264376]]",process,['yes'],['no'],['no'],[1],['narrator_speech'],[1],,
Effi Briest,und noch im Aufsteigen Innstetten entschuldigte,"[[264377, 264424]]",process,['yes'],['no'],['no'],[2],['narrator_speech'],[2],,
Effi Briest,der nun doch verhindert sei,"[[264426, 264453]]",stative_event,,,['no'],,['character_speech'],[2],,
Effi Briest,letzte Nacht wieder großes Feuer in Morgenitz,"[[264455, 264500]]",non_event,,,,,['character_speech'],,,['ellipsis']
Effi Briest,das dritte seit drei Wochen,"[[264503, 264530]]",non_event,,,,,['character_speech'],,,['ellipsis']
Effi Briest,also angelegt,"[[264532, 264545]]",non_event,,,,,['character_speech'],,,['ellipsis']
Effi Briest,da habe er hingemußt,"[[264548, 264568]]",process,['no'],['no'],['no'],[2],['character_speech'],[1],,
Effi Briest,sehr zu seinem Leidwesen,"[[264570, 264594]]",non_event,,,,,['character_speech'],,,['ellipsis']
Effi Briest,denn er habe sich auf diesen Ausritt wirklich gefreut,"[[264596, 264632], [264684, 264700]]",stative_event,,,['yes'],,['character_speech'],[1],,
Effi Briest,der wohl der letzte in diesem Herbste sein werde,"[[264634, 264682]]",non_event,,,,,['character_speech'],,,['modalised_statement']
Effi Briest,Crampas sprach sein Bedauern aus,"[[264703, 264735]]",process,['yes'],['no'],['no'],[1],['narrator_speech'],[1],,
Effi Briest,vielleicht nur um 'was zu sagen,"[[264737, 264768]]",non_event,,,,,['narrator_speech'],,,['ellipsis']
Effi Briest,vielleicht aber auch aufrichtig,"[[264770, 264801]]",non_event,,,,,['narrator_speech'],,,['ellipsis']
Effi Briest,denn so rücksichtslos er im Punkte chevaleresker Liebesabenteuer war,"[[264803, 264871]]",stative_event,,,['no'],,['narrator_speech'],[2],,
Effi Briest,so sehr war er auch wieder guter Kamerad,"[[264873, 264913]]",stative_event,,,['no'],,['narrator_speech'],[2],,
Effi Briest,"Natürlich, alles ganz oberflächlich","[[264915, 264950]]",non_event,,,,,['narrator_speech'],,,['ellipsis']
Effi Briest,Einem Freunde helfen,"[[264952, 264972]]",process,['yes'],['yes'],['no'],[1],['narrator_speech'],[1],,
Effi Briest,und fünf Minuten später ihn betrügen,"[[264973, 265009]]",process,['yes'],['yes'],['no'],[2],['narrator_speech'],[1],,
Effi Briest,waren Dinge,"[[265011, 265022]]",stative_event,,,['no'],,['narrator_speech'],[1],,
Effi Briest,die sich mit seinem Ehrbegriffe sehr wohl vertrugen,"[[265024, 265075]]",stative_event,,,['no'],,['narrator_speech'],[1],,
Effi Briest,Er that das eine und das andere mit unglaublicher Bonhommie,"[[265077, 265136]]",process,['yes'],['yes'],['no'],[2],['narrator_speech'],[1],,
Effi Briest,Der Ritt ging wie gewöhnlich durch die Plantage hin,"[[265139, 265190]]",process,['yes'],['yes'],['no'],[1],['narrator_speech'],[1],,
Effi Briest,Rollo war  wieder vorauf,"[[265192, 265215]]",stative_event,,,['no'],,['narrator_speech'],[1],,
Effi Briest,dann kamen Crampas und Effi,"[[265217, 265244]]",stative_event,,,['no'],,['narrator_speech'],[1],,
Effi Briest,dann Kruse,"[[265246, 265256]]",non_event,,,,,['narrator_speech'],,,['ellipsis']
Effi Briest,Knut fehlte,"[[265258, 265269]]",non_event,,,,,['narrator_speech'],,,['negation']
Effi Briest,Wo haben Sie Knut gelassen,"[[265273, 265299]]",non_event,,,,,['character_speech'],,,['question']
Effi Briest,Er hat einen Ziegenpeter,"[[265304, 265328]]",stative_event,,,['no'],,['character_speech'],[1],,
Effi Briest,Merkwürdig,"[[265333, 265343]]",non_event,,,,,['character_speech'],,,['ellipsis']
Effi Briest,lachte Effi,"[[265346, 265357]]",process,['yes'],['no'],['no'],[1],['narrator_speech'],[1],,
Effi Briest,Eigentlich sah er schon immer so aus,"[[265360, 265396]]",stative_event,,,['no'],,['character_speech'],[1],,
Effi Briest,Sehr richtig,"[[265401, 265413]]",non_event,,,,,['character_speech'],,,['ellipsis']
Effi Briest,Aber Sie sollten ihn jetzt sehen,"[[265415, 265447]]",non_event,,,,,['character_speech'],,,['modalised_statement']
Effi Briest,Oder doch lieber nicht,"[[265449, 265471]]",non_event,,,,,['character_speech'],,,"['ellipsis', 'negation']"
Effi Briest,"Denn Ziegenpeter ist ansteckend, schon  bloß durch Anblick","[[265473, 265530]]",non_event,,,,,['character_speech'],,,['generic_sentence']
Effi Briest,Glaub' ich nicht,"[[265535, 265551]]",non_event,,,,,['character_speech'],,,['negation']
Effi Briest,Junge Frauen glauben vieles nicht,"[[265556, 265589]]",non_event,,,,,['character_speech'],,,['generic_sentence']
Effi Briest,Und dann glauben sie wieder vieles,"[[265594, 265628]]",non_event,,,,,['character_speech'],,,['generic_sentence']
Effi Briest,was sie besser nicht glaubten,"[[265630, 265659]]",non_event,,,,,['character_speech'],,,"['generic_sentence', 'negation']"
Effi Briest,An meine Adresse,"[[265664, 265680]]",non_event,,,,,['character_speech'],,,['question']
Effi Briest,Nein,"[[265685, 265689]]",non_event,,,,,['character_speech'],,,"['ellipsis', 'negation']"
Effi Briest,Schade,"[[265694, 265700]]",non_event,,,,,['character_speech'],,,['ellipsis']
Effi Briest,Wie dies „Schade“ Sie kleidet,"[[265705, 265734]]",stative_event,,,['no'],,['character_speech'],[1],,
Effi Briest,"Ich glaube wirklich, Major","[[265736, 265762]]",stative_event,,,['yes'],,['character_speech'],[1],,
Effi Briest,Sie  hielten es für ganz in der Ordnung,"[[265764, 265802]]",non_event,,,,,['character_speech'],,,['modalised_statement']
Effi Briest,wenn ich Ihnen eine Liebeserklärung machte,"[[265804, 265846]]",non_event,,,,,['character_speech'],,,['modalised_statement']
Effi Briest,So weit will ich nicht gehen,"[[265851, 265879]]",non_event,,,,,['character_speech'],,,['negation']
Effi Briest,Aber ich möchte den sehen,"[[265881, 265906]]",stative_event,,,['yes'],,['character_speech'],[1],,
Effi Briest,der sich dergleichen nicht wünschte,"[[265908, 265943]]",non_event,,,,,['character_speech'],,,"['modalised_statement', 'negation']"
Effi Briest,Gedanken und  Wünsche sind zollfrei,"[[265945, 265979]]",non_event,,,,,['character_speech'],,,['generic_sentence']
Effi Briest,Das fragt sich,"[[265984, 265998]]",stative_event,,,['yes'],,['character_speech'],[1],,
Effi Briest,Und dann ist doch immer noch ein Unterschied zwischen Gedanken und Wünschen,"[[266000, 266075]]",stative_event,,,['yes'],,['character_speech'],[2],,
Effi Briest,Gedanken sind in der Regel etwas,"[[266077, 266109]]",non_event,,,,,['character_speech'],,,['generic_sentence']
Effi Briest,das noch im Hintergrunde liegt,"[[266111, 266141]]",non_event,,,,,['character_speech'],,,['generic_sentence']
Effi Briest,Wünsche aber liegen meist schon auf der Lippe,"[[266143, 266188]]",non_event,,,,,['character_speech'],,,['generic_sentence']
Effi Briest,Nur nicht gerade diesen Vergleich,"[[266193, 266226]]",non_event,,,,,['character_speech'],,,"['ellipsis', 'negation']"
Effi Briest,"Ach, Crampas, Sie sind","[[266231, 266253]]",non_event,,,,,['character_speech'],,,['ellipsis']
Effi Briest,Sie sind,"[[266260, 266268]]",non_event,,,,,['character_speech'],,,['ellipsis']
Effi Briest,Ein Narr,"[[266278, 266286]]",non_event,,,,,['character_speech'],,,['ellipsis']
Effi Briest,Nein,"[[266291, 266295]]",non_event,,,,,['character_speech'],,,"['ellipsis', 'negation']"
Effi Briest,Auch darin übertreiben Sie wieder,"[[266297, 266330]]",process,['yes'],['yes'],['no'],[2],['character_speech'],[1],,
Effi Briest,Aber Sie sind etwas anderes,"[[266332, 266359]]",stative_event,,,['no'],,['character_speech'],[2],,
Effi Briest,In Hohen-Cremmen sagten wir immer,"[[266361, 266394]]",process,['yes'],['yes'],['no'],[1],['character_speech'],[1],,
Effi Briest,und ich mit,"[[266396, 266407]]",non_event,,,,,['character_speech'],,,['ellipsis']
Effi Briest,das Eitelste,"[[266409, 266421]]",non_event,,,,,['character_speech_1'],,,"['ellipsis', 'generic_sentence']"
Effi Briest,was es gäbe,"[[266423, 266434]]",stative_event,,,['no'],,['character_speech_1'],[1],,
Effi Briest,das sei ein Husarenfähnrich von achtzehn,"[[266436, 266476]]",non_event,,,,,['character_speech_1'],,,['generic_sentence']
Effi Briest,Und jetzt,"[[266486, 266495]]",non_event,,,,,['character_speech'],,,['question']
Effi Briest,Und jetzt sag' ich,"[[266500, 266518]]",process,['yes'],['yes'],['no'],[2],['character_speech'],[2],,
Effi Briest,das Eitelste ist ein Landwehr-Bezirksmajor von zweiundvierzig,"[[266520, 266532], [266548, 266596]]",non_event,,,,,['character_speech'],,,['generic_sentence']
Effi Briest,was es giebt,"[[266534, 266546]]",stative_event,,,['no'],,['character_speech'],[1],,
Effi Briest,Wobei die zwei Jahre alles wieder gut machen,"[[266608, 266628], [266661, 266684]]",process,['yes'],['no'],['no'],[1],['character_speech'],[1],,
Effi Briest,die Sie mir gnädigst erlassen,"[[266630, 266659]]",process,['yes'],['no'],['no'],[1],['character_speech'],[1],,
Effi Briest,küss' die Hand,"[[266688, 266702]]",non_event,,,,,['character_speech'],,,['imperative_sentence']
Effi Briest,"Ja, küss' die Hand","[[266707, 266725]]",non_event,,,,,['character_speech'],,,['imperative_sentence']
Effi Briest,Das ist so recht das Wort,"[[266727, 266752]]",stative_event,,,['no'],,['character_speech'],[1],,
Effi Briest,das für Sie paßt,"[[266754, 266770]]",stative_event,,,['no'],,['character_speech'],[2],,
Effi Briest,Das ist wienerisch,"[[266772, 266790]]",stative_event,,,['no'],,['character_speech'],[1],,
Effi Briest,Und die Wiener,"[[266792, 266806]]",non_event,,,,,['character_speech'],,,['ellipsis']
Effi Briest,"die hab' ich kennen gelernt, in Karlsbad, vor vier Jahren","[[266808, 266865]]",process,['yes'],['no'],['yes'],[1],['character_speech'],[1],,
Effi Briest,wo sie mir vierzehnjährigem Dinge den Hof machten,"[[266867, 266916]]",process,['yes'],['yes'],['no'],[1],['character_speech'],[2],,
Effi Briest,Was ich da alles gehört habe,"[[266918, 266946]]",process,['no'],['no'],['yes'],[1],['character_speech'],[1],,
Effi Briest,Gewiß nicht mehr,"[[266951, 266967]]",non_event,,,,,['character_speech'],,,"['ellipsis', 'negation']"
Effi Briest,als recht war,"[[266968, 266981]]",stative_event,,,['yes'],,['character_speech'],[1],,
Effi Briest,Wenn das zuträfe,"[[266986, 267002]]",non_event,,,,,['character_speech'],,,['conditional_sentence']
Effi Briest,wäre das ziemlich ungezogen,"[[267004, 267012], [267040, 267058]]",non_event,,,,,['character_speech'],,,['conditional_sentence']
Effi Briest,was mir schmeicheln soll,"[[267014, 267038]]",non_event,,,,,['character_speech'],,,['modalised_statement']
Effi Briest,Aber sehen Sie da die Bojen,"[[267065, 267092]]",non_event,,,,,['character_speech'],,,['question']
Effi Briest,wie die schwimmen,"[[267094, 267111]]",process,['yes'],['yes'],['no'],[1],['character_speech'],[1],,
Effi Briest,und tanzen,"[[267112, 267122]]",process,['no'],['yes'],['no'],[1],['character_speech'],[1],,
Effi Briest,Die kleinen roten Fahnen sind eingezogen,"[[267124, 267164]]",stative_event,,,['no'],,['character_speech'],[1],,
Effi Briest,Immer sagt' ich mir,"[[267166, 267171], [267274, 267287]]",process,['yes'],['yes'],['no'],[2],['character_speech'],[2],,
Effi Briest,wenn ich diesen Sommer die roten Fahnen sah,"[[267173, 267195], [267252, 267272]]",process,['no'],['yes'],['yes'],[2],['character_speech'],[1],,
Effi Briest,die paarmal,"[[267197, 267208]]",non_event,,,,,['character_speech'],,,['ellipsis']
Effi Briest,wo ich mich bis an den Strand hinauswagte,"[[267209, 267250]]",process,['yes'],['yes'],['no'],[1],['character_speech'],[1],,
Effi Briest,da liegt Vineta,"[[267289, 267304]]",stative_event,,,['no'],,['character_speech_1'],[1],,
Effi Briest,da muß es liegen,"[[267306, 267322]]",non_event,,,,,['character_speech_1'],,,['modalised_statement']
Effi Briest,das sind die Turmspitzen,"[[267324, 267348]]",stative_event,,,['no'],,['character_speech_1'],[1],,
Effi Briest,Das macht,"[[267358, 267367]]",stative_event,,,['yes'],,['character_speech'],[1],,
Effi Briest,weil Sie das Heine'sche Gedicht kennen,"[[267369, 267407]]",stative_event,,,['yes'],,['character_speech'],[1],,
Effi Briest,Welches,"[[267412, 267419]]",non_event,,,,,['character_speech'],,,"['ellipsis', 'question']"
Effi Briest,"Nun, das von Vineta","[[267424, 267443]]",non_event,,,,,['character_speech'],,,['ellipsis']
Effi Briest,"Nein, das kenne ich nicht","[[267448, 267473]]",non_event,,,,,['character_speech'],,,['negation']
Effi Briest,ich kenne überhaupt nur wenig,"[[267475, 267504]]",stative_event,,,['yes'],,['character_speech'],[1],,
Effi Briest,Leider,"[[267506, 267512]]",non_event,,,,,['character_speech'],,,['ellipsis']
Effi Briest,Und haben doch Gieshübler und den Journalzirkel,"[[267517, 267564]]",stative_event,,,['no'],,['character_speech'],[1],,
Effi Briest,Übrigens hat  Heine dem Gedicht einen anderen Namen gegeben,"[[267566, 267624]]",process,['yes'],['no'],['no'],[1],['character_speech'],[2],,
Effi Briest,ich glaube „Seegespenst“ oder so ähnlich,"[[267626, 267666]]",stative_event,,,['yes'],,['character_speech'],[1],,
Effi Briest,Aber Vineta hat er gemeint,"[[267668, 267694]]",stative_event,,,['yes'],,['character_speech'],[1],,
Effi Briest,Und er selber der Dichter also liegt auf einem Schiffsdeck,"[[267696, 267709], [267788, 267804], [267838, 267865]]",process,['yes'],['no'],['no'],[0],['character_speech'],[1],,
Effi Briest,verzeihen Sie,"[[267712, 267725]]",non_event,,,,,['character_speech'],,,['request']
Effi Briest,wenn ich Ihnen so ohne weiteres den Inhalt hier wiedergebe,"[[267727, 267785]]",process,['yes'],['no'],['no'],[2],['character_speech'],[1],,
Effi Briest,während er die Stelle passiert,"[[267806, 267836]]",process,['yes'],['no'],['no'],[1],['character_speech'],[1],,
Effi Briest,und sieht hinunter,"[[267866, 267884]]",process,['yes'],['no'],['yes'],[1],['character_speech'],[2],,
Effi Briest,"und sieht da schmale, mittelalterliche Straßen  und trippelnde Frauen in Kapothüten","[[267886, 267968]]",process,['no'],['yes'],['yes'],[1],['character_speech'],[2],,
Effi Briest,und alle haben ein Gesangbuch in Händen,"[[267970, 268009]]",stative_event,,,['no'],,['character_speech'],[2],,
Effi Briest,und wollen zur Kirche,"[[268010, 268031]]",stative_event,,,['yes'],,['character_speech'],[2],,
Effi Briest,und alle Glocken läuten,"[[268033, 268056]]",process,['yes'],['yes'],['no'],[1],['character_speech'],[1],,
Effi Briest,Und als er das hört,"[[268058, 268077]]",process,['no'],['no'],['yes'],[1],['character_speech'],[2],,
Effi Briest,"da faßt ihn eine Sehnsucht, auch mit in die Kirche zu gehen","[[268079, 268138]]",change_of_state,['no'],['no'],['yes'],[1],['character_speech'],[1],['no'],
Effi Briest,wenn auch bloß um der Kapothüte willen,"[[268140, 268178]]",non_event,,,,,['character_speech'],,,['ellipsis']
Effi Briest,und vor Verlangen schreit er auf,"[[268180, 268212]]",process,['no'],['no'],['no'],[1],['character_speech'],[2],,
Effi Briest,und will sich hinunterstürzen,"[[268213, 268242]]",stative_event,,,['yes'],,['character_speech'],[2],,
Effi Briest,Aber im selben Augenblicke packt  ihn der Kapitän am Bein,"[[268244, 268300]]",process,['yes'],['no'],['no'],[1],['character_speech'],[2],,
Effi Briest,und ruft ihm zu,"[[268301, 268316]]",process,['yes'],['no'],['no'],[1],['character_speech'],[2],,
Effi Briest,"Doktor, sind Sie des Teufels","[[268318, 268346]]",non_event,,,,,['character_speech_1'],,,['question']
Effi Briest,Das ist ja allerliebst,"[[268351, 268373]]",stative_event,,,['no'],,['character_speech'],[1],,
Effi Briest,Das möcht' ich lesen,"[[268375, 268395]]",stative_event,,,['yes'],,['character_speech'],[1],,
Effi Briest,Ist es lang,"[[268397, 268408]]",non_event,,,,,['character_speech'],,,['question']
Effi Briest,"Nein, es ist eigentlich kurz","[[268413, 268441]]",stative_event,,,['no'],,['character_speech'],[1],,
Effi Briest,"etwas länger als ,Du hast Diamanten und Perlen‘ oder ,Deine weichen Lilienfinger‘","[[268443, 268524]]",stative_event,,,['no'],,['character_speech'],[1],,
Effi Briest,und er berührte leise ihre Hand,"[[268532, 268563]]",process,['yes'],['no'],['no'],[1],['narrator_speech'],[1],,
Effi Briest,Aber lang oder kurz,"[[268566, 268585]]",non_event,,,,,['character_speech'],,,['ellipsis']
Effi Briest,welche Schilderungskraft,"[[268587, 268611]]",non_event,,,,,['character_speech'],,,['ellipsis']
Effi Briest,welche Anschaulichkeit,"[[268613, 268635]]",non_event,,,,,['character_speech'],,,['ellipsis']
Effi Briest,Er ist mein Lieblingsdichter,"[[268637, 268665]]",stative_event,,,['no'],,['character_speech'],[1],,
Effi Briest,und ich kann ihn auswendig,"[[268667, 268693]]",stative_event,,,['yes'],,['character_speech'],[2],,
Effi Briest,so wenig ich mir sonst aus der Dichterei mache,"[[268695, 268717], [268762, 268785]]",stative_event,,,['yes'],,['character_speech'],[2],,
Effi Briest,trotz gelegentlich eigener Versündigungen,"[[268719, 268760]]",non_event,,,,,['character_speech'],,,['ellipsis']
Effi Briest,Bei Heine liegt es aber anders,"[[268787, 268817]]",stative_event,,,['yes'],,['character_speech'],[1],,
Effi Briest,Alles ist Leben,"[[268819, 268834]]",non_event,,,,,['character_speech'],,,['generic_sentence']
Effi Briest,und vor allem versteht er sich auf die Liebe,"[[268836, 268880]]",stative_event,,,['yes'],,['character_speech'],[1],,
Effi Briest,die doch die Hauptsache bleibt,"[[268882, 268912]]",stative_event,,,['yes'],,['character_speech'],[1],,
Effi Briest,Er ist übrigens nicht einseitig darin,"[[268914, 268951]]",non_event,,,,,['character_speech'],,,['negation']
Effi Briest,Wie meinen Sie das,"[[268962, 268980]]",non_event,,,,,['character_speech'],,,['question']
Effi Briest,Ich meine,"[[268985, 268994]]",stative_event,,,['yes'],,['character_speech'],[1],,
Effi Briest,er ist nicht bloß für die Liebe,"[[268996, 269027]]",non_event,,,,,['character_speech'],,,['negation']
Effi Briest,"Nun, wenn er diese Einseitigkeit auch hätte","[[269037, 269080]]",non_event,,,,,['character_speech'],,,['conditional_sentence']
Effi Briest,das wäre am Ende noch nicht das schlimmste,"[[269082, 269124]]",non_event,,,,,['character_speech'],,,"['conditional_sentence', 'negation']"
Effi Briest,Wofür ist er denn sonst noch,"[[269126, 269154]]",non_event,,,,,['character_speech'],,,['question']
Effi Briest,Er ist auch sehr für das Romantische,"[[269159, 269195]]",stative_event,,,['yes'],,['character_speech'],[1],,
Effi Briest,was freilich gleich nach der Liebe kommt,"[[269197, 269237]]",stative_event,,,['yes'],,['character_speech'],[1],,
Effi Briest,und nach Meinung einiger sogar damit zusammenfällt,"[[269238, 269288]]",stative_event,,,['yes'],,['character_speech'],[1],,
Effi Briest,Was ich aber nicht glaube,"[[269290, 269315]]",non_event,,,,,['character_speech'],,,['negation']
Effi Briest,Denn in seinen späteren Gedichten,"[[269317, 269350]]",non_event,,,,,['character_speech'],,,['ellipsis']
Effi Briest,die man denn auch die „romantischen“ genannt hat,"[[269352, 269400]]",process,['yes'],['no'],['no'],[1],['character_speech'],[1],,
Effi Briest,oder eigentlich hat er es selber gethan,"[[269402, 269441]]",process,['yes'],['no'],['no'],[1],['character_speech'],[2],,
Effi Briest,in diesen romantischen Dichtungen wird in einem fort hingerichtet,"[[269443, 269508]]",process,['yes'],['yes'],['no'],[1],['character_speech'],[2],,
Effi Briest,allerdings vielfach aus Liebe,"[[269510, 269539]]",process,['yes'],['yes'],['no'],[1],['character_speech'],[1],,
Effi Briest,Aber doch meist aus anderen gröberen Motiven,"[[269541, 269585]]",process,['yes'],['yes'],['no'],[1],['character_speech'],[2],,
Effi Briest,wohin ich in erster Reihe die Politik rechne,"[[269587, 269624], [269655, 269661]]",stative_event,,,['yes'],,['character_speech'],[1],,
